country_name,date,action_form
austria,2000-10-24,"petitions, symbolic actions"
austria,2000-10-25,"petitions, symbolic actions"
austria,2000-10-26,demonstrations
austria,2000-10-26,demonstrations
austria,2000-10-26,demonstrations
austria,2000-10-27,demonstrations
austria,2000-10-28,demonstrations
austria,2000-10-28,demonstrations
austria,2000-10-29,demonstrations
austria,2000-10-30,"petitions, symbolic actions"
austria,2000-10-30,"petitions, symbolic actions"
austria,2000-10-30,violent protest
austria,2000-10-30,demonstrations
austria,2000-11-01,"confrontations, blockades"
austria,2000-11-02,"confrontations, blockades"
austria,2000-11-02,"confrontations, blockades"
austria,2000-11-02,"confrontations, blockades"
austria,2000-11-04,"confrontations, blockades"
austria,2000-11-04,"confrontations, blockades"
austria,2000-11-04,violent protest
austria,2000-11-04,"confrontations, blockades"
austria,2000-11-06,violent protest
austria,2000-11-06,"confrontations, blockades"
austria,2000-11-06,violent protest
austria,2000-11-07,"confrontations, blockades"
austria,2000-11-08,demonstrations
austria,2000-11-09,demonstrations
austria,2000-11-20,"petitions, symbolic actions"
austria,2000-11-23,demonstrations
austria,2000-11-24,"confrontations, blockades"
austria,2000-11-29,"petitions, symbolic actions"
austria,2000-12-01,demonstrations
austria,2000-12-05,"confrontations, blockades"
austria,2000-12-08,demonstrations
austria,2000-12-12,demonstrations
austria,2000-12-12,"petitions, symbolic actions"
austria,2000-12-14,demonstrations
austria,2000-12-18,"petitions, symbolic actions"
austria,2000-12-18,"petitions, symbolic actions"
austria,2000-12-19,demonstrations
austria,2000-12-19,demonstrations
austria,2000-12-21,demonstrations
austria,2000-12-23,demonstrations
austria,2000-12-27,violent protest
austria,2001-01-01,strikes
austria,2001-01-05,demonstrations
austria,2001-01-07,demonstrations
austria,2001-01-16,demonstrations
austria,2001-01-17,demonstrations
austria,2001-01-18,demonstrations
austria,2001-01-21,violent protest
austria,2001-01-21,demonstrations
austria,2001-02-01,strikes
austria,2001-02-03,demonstrations
austria,2001-02-16,demonstrations
austria,2001-02-16,"confrontations, blockades"
austria,2001-02-16,"confrontations, blockades"
austria,2001-02-17,"confrontations, blockades"
austria,2001-02-18,"confrontations, blockades"
austria,2001-02-21,"confrontations, blockades"
austria,2001-02-22,violent protest
austria,2001-02-22,"petitions, symbolic actions"
austria,2001-02-23,"petitions, symbolic actions"
austria,2001-02-23,violent protest
austria,2001-02-24,demonstrations
austria,2001-02-25,demonstrations
austria,2001-02-26,"confrontations, blockades"
austria,2001-02-26,demonstrations
austria,2001-03-10,demonstrations
austria,2001-03-15,"petitions, symbolic actions"
austria,2001-03-16,demonstrations
austria,2001-03-16,demonstrations
austria,2001-03-21,demonstrations
austria,2001-03-23,demonstrations
austria,2001-04-03,demonstrations
austria,2001-04-13,"confrontations, blockades"
austria,2001-04-27,demonstrations
austria,2001-04-27,"confrontations, blockades"
austria,2001-05-21,violent protest
austria,2001-05-22,demonstrations
austria,2001-05-27,"confrontations, blockades"
austria,2001-05-27,"confrontations, blockades"
austria,2001-05-27,demonstrations
austria,2001-05-31,"confrontations, blockades"
austria,2001-06-01,strikes
austria,2001-06-02,other protest
austria,2001-06-19,demonstrations
austria,2001-06-20,demonstrations
austria,2001-06-22,"petitions, symbolic actions"
austria,2001-06-24,"confrontations, blockades"
austria,2001-06-24,"confrontations, blockades"
austria,2001-06-25,"confrontations, blockades"
austria,2001-06-26,"confrontations, blockades"
austria,2001-06-26,violent protest
austria,2001-06-30,demonstrations
austria,2001-07-01,violent protest
austria,2001-07-01,demonstrations
austria,2001-07-04,"petitions, symbolic actions"
austria,2001-07-05,demonstrations
austria,2001-07-05,demonstrations
austria,2001-07-05,strikes
austria,2001-07-05,demonstrations
austria,2001-07-21,other protest
austria,2001-07-21,demonstrations
austria,2001-07-25,"petitions, symbolic actions"
austria,2001-08-09,"confrontations, blockades"
austria,2001-08-10,"confrontations, blockades"
austria,2001-08-11,"confrontations, blockades"
austria,2001-08-20,"petitions, symbolic actions"
austria,2001-09-28,demonstrations
austria,2001-10-05,demonstrations
austria,2001-10-05,demonstrations
austria,2001-10-05,"petitions, symbolic actions"
austria,2001-10-05,demonstrations
austria,2001-10-06,other protest
austria,2001-10-11,strikes
austria,2001-10-15,other protest
austria,2001-10-21,demonstrations
austria,2001-10-21,"confrontations, blockades"
austria,2001-10-26,other protest
austria,2001-10-31,"confrontations, blockades"
austria,2001-11-04,other protest
austria,2001-11-24,demonstrations
austria,2001-11-24,other protest
austria,2001-11-24,"confrontations, blockades"
austria,2001-11-29,"confrontations, blockades"
austria,2001-12-07,demonstrations
austria,2001-12-10,demonstrations
austria,2001-12-19,demonstrations
austria,2002-01-01,"petitions, symbolic actions"
austria,2002-01-01,other protest
austria,2002-01-01,violent protest
austria,2002-01-14,"petitions, symbolic actions"
austria,2002-01-16,demonstrations
austria,2002-01-17,other protest
austria,2002-01-21,"petitions, symbolic actions"
austria,2002-01-21,"petitions, symbolic actions"
austria,2002-03-04,demonstrations
austria,2002-03-08,demonstrations
austria,2002-03-11,demonstrations
austria,2002-04-01,demonstrations
austria,2002-04-03,"petitions, symbolic actions"
austria,2002-04-09,"petitions, symbolic actions"
austria,2002-04-13,demonstrations
austria,2002-04-24,demonstrations
austria,2002-04-24,strikes
austria,2002-05-01,demonstrations
austria,2002-05-01,demonstrations
austria,2002-05-05,demonstrations
austria,2002-05-08,demonstrations
austria,2002-05-14,demonstrations
austria,2002-05-18,demonstrations
austria,2002-05-19,other protest
austria,2002-05-21,demonstrations
austria,2002-05-29,strikes
austria,2002-06-19,demonstrations
austria,2002-06-25,strikes
austria,2002-06-29,demonstrations
austria,2002-07-28,violent protest
